algo,N,M,distance,time_ms,mem_mb
optimized_distance,100,100,9,0.01739702,1.296880000000001
hirschberg_distance,100,100,9,0.06948749,1.3192165999999999
optimized_distance,500,500,47,0.4455016800000001,1.297036200000001
hirschberg_distance,500,500,47,1.0663256899999998,1.4921901999999994
optimized_distance,1000,1000,79,1.8812933999999997,1.297504800000001
hirschberg_distance,1000,1000,79,4.0507486,1.6381258999999997
optimized_distance,2000,2000,166,7.818448500000001,1.297036200000001
hirschberg_distance,2000,2000,166,16.020616999999998,1.8329685999999998
optimized_distance,5000,5000,401,48.044676999999986,1.3682834
hirschberg_distance,5000,5000,401,95.21389700000002,2.007811400000001
optimized_distance,10000,10000,795,190.35842999999994,1.4751580999999998
hirschberg_distance,10000,10000,795,412.19766999999985,2.2757818
optimized_distance,20000,20000,1529,815.46564,1.5673423000000002
hirschberg_distance,20000,20000,1529,1540.5111000000006,2.4914056000000007
optimized_distance,40000,40000,3041,3300.4345000000003,1.7506248000000004
hirschberg_distance,40000,40000,3041,6242.6151,2.9301573999999984
optimized_distance,80000,80000,6006,12605.391000000003,2.1248437999999994
hirschberg_distance,80000,80000,6006,25145.27600000001,3.7685932
optimized_distance,160000,160000,12021,54338.90199999997,2.9068752999999994
hirschberg_distance,160000,160000,12021,102259.25100000002,5.424220199999996
