algo,N,M,distance,time_ms,mem_mb
hirschberg_distance,100,100,9,0.07106209000000001,1.3214035999999996
hirschberg_pivot,100,100,9,0.12570747000000002,1.3421888000000002
hirschberg_distance,500,500,47,1.0801690800000003,1.4915651999999997
hirschberg_pivot,500,500,47,1.4123155000000003,1.4931257999999996
hirschberg_distance,1000,1000,79,4.273694600000001,1.6498445999999993
hirschberg_pivot,1000,1000,79,6.728689600000003,1.7584379999999993
hirschberg_distance,2000,2000,166,17.020995000000006,1.7965620000000004
hirschberg_pivot,2000,2000,166,19.830592999999993,2.083905000000001
hirschberg_distance,5000,5000,401,95.02452599999998,2.002029800000001
hirschberg_pivot,5000,5000,401,123.00468999999997,2.682657399999999
hirschberg_distance,10000,10000,795,379.9099299999998,2.303751099999999
hirschberg_pivot,10000,10000,795,500.8351800000001,3.3576562
hirschberg_distance,20000,20000,1529,1523.7165000000002,2.5642174000000013
hirschberg_pivot,20000,20000,1529,3020.8959000000004,4.2257817
hirschberg_distance,40000,40000,3041,6137.517900000003,2.9560949999999986
hirschberg_pivot,40000,40000,3041,8830.159899999997,4.815625399999999
hirschberg_distance,80000,80000,6006,24588.054999999997,3.758280500000002
hirschberg_pivot,80000,80000,6006,33810.73199999999,6.327499600000001
hirschberg_distance,160000,160000,12021,98885.34100000001,5.475157399999998
hirschberg_pivot,160000,160000,12021,159288.98,9.649221499999998
