algo,N,M,distance,time_ms,mem_mb
standard_trace,100,100,9,0.037710040000000014,1.3359349999999994
hirschberg_trace,100,100,9,0.08078547999999998,1.3317157999999998
standard_trace,500,500,47,0.5621387199999999,2.3046899999999977
hirschberg_trace,500,500,47,1.0537961000000002,1.5098452999999998
standard_trace,1000,1000,79,2.2933281999999995,5.2543738000000015
hirschberg_trace,1000,1000,79,4.1197843999999995,1.6575005999999999
standard_trace,2000,2000,166,10.285208800000003,17.094716000000027
hirschberg_trace,2000,2000,166,15.673818999999996,1.8804692
standard_trace,5000,5000,401,72.05529299999998,106.16223000000002
hirschberg_trace,5000,5000,401,109.17758100000003,2.0462502999999996
standard_trace,10000,10000,795,666.7584699999998,453.60778999999985
hirschberg_trace,10000,10000,795,405.95718,2.3195319999999997
standard_trace,20000,20000,1529,3191.2102,1008.2047600000002
hirschberg_trace,20000,20000,1529,1587.7366999999995,2.6226571999999995
